lon,lat,count
113.775761,30.436937,598
113.79356,30.232505,121
113.79,30.436937,216
113.8078,30.466141,686
113.83272,30.456406,276
113.83272,30.491452,813
113.843399,30.497293,2512
113.864759,30.248081,1664
113.896798,30.534285,22
113.925278,30.413573,132
113.928838,30.314278,137
113.928838,30.645262,252
113.932398,30.339588,6
113.943078,30.590747,295
113.957317,30.470035,100
113.971557,30.419414,698
113.975117,30.682255,527
113.978677,30.477823,2
114.010716,30.569331,40
114.017836,30.452513,669
114.017836,30.592694,1840
114.021396,30.649156,815
114.021396,30.660838,230
114.024956,30.538179,423
114.024956,30.62774,7
114.028516,30.454459,4400
114.028516,30.649156,45
114.032076,30.569331,1
114.035636,30.446672,1946
114.035636,30.614111,1
114.039196,30.440831,765
114.039196,30.452513,2
114.039196,30.5888,87
114.039196,30.592694,603
114.042756,30.32596,912
114.042756,30.586853,1831
114.042756,30.621899,13
114.046316,30.456406,1049
114.049876,30.275338,13
114.049876,30.28702,8
114.053436,30.253922,30
114.053436,30.631634,8011
114.056996,30.633581,670
114.060556,30.405785,1056
114.064116,30.470035,9
114.067675,30.4603,180
114.067675,30.604376,163
114.071235,30.758187,2540
114.078355,30.30649,1150
114.078355,30.466141,7
114.081915,30.397997,26
114.085475,30.438884,307
114.085475,30.618005,1296
114.089035,30.514816,829
114.092595,30.540126,711
114.096155,30.503134,231
114.099715,30.738717,604
114.103275,30.409679,82
114.103275,30.600482,178
114.103275,30.612164,2887
114.106835,30.466141,3842
114.106835,30.52455,741
114.110395,30.549861,80
114.110395,30.732876,78
114.113955,30.298702,3157
114.113955,30.458353,775
114.113955,30.481717,641
114.113955,30.641368,556
114.117515,30.522603,247
114.117515,30.526497,69
114.117515,30.538179,451
114.117515,30.549861,2644
114.117515,30.744558,28
114.121075,30.30649,394
114.121075,30.614111,1266
114.124634,30.600482,550
114.124634,30.612164,1
114.128194,30.65305,5
114.131754,30.616058,1466
114.135314,30.649156,4749
114.135314,30.660838,163
114.138874,30.296755,17
114.138874,30.510922,2433
114.138874,30.674467,12
114.142434,30.52455,3057
114.142434,30.594641,6
114.142434,30.614111,1357
114.145994,30.433043,103
114.145994,30.581012,1619
114.145994,30.619952,2687
114.145994,30.62774,4076
114.149554,30.39605,259
114.153114,30.491452,5457
114.153114,30.514816,158
114.153114,30.639421,3680
114.153114,30.654997,540
114.156674,30.481717,4011
114.156674,30.641368,8
114.156674,30.664732,61
114.160234,30.503134,3650
114.160234,30.651103,1391
114.163794,30.403838,339
114.163794,30.633581,2663
114.167354,30.573225,69
114.167354,30.919785,4772
114.170914,30.477823,2541
114.170914,30.489505,1
114.170914,30.512869,6
114.170914,30.54402,215
114.174474,30.487558,54
114.174474,30.507028,769
114.181593,30.561543,523
114.185153,30.688096,164
114.188713,30.49924,147
114.188713,30.573225,8
114.188713,30.5888,6215
114.188713,30.709512,12
114.188713,30.721194,32
114.192273,30.598535,785
114.192273,30.606323,2631
114.192273,30.976247,3262
114.195833,30.507028,81
114.195833,30.643315,402
114.195833,30.658891,17
114.195833,30.690043,86
114.199393,30.536232,6751
114.199393,30.758187,1
114.199393,30.894474,531
114.199393,30.902262,2
114.202953,30.49924,11
114.202953,30.510922,8935
114.202953,30.686149,50
114.202953,30.697831,78
114.206513,30.559596,7085
114.206513,30.933414,3
114.210073,30.592694,11445
114.210073,30.600482,3641
114.210073,30.612164,1752
114.210073,30.775709,1801
114.213633,30.493399,5
114.213633,30.501187,158
114.217193,30.62774,612
114.217193,30.670573,1512
114.220753,30.458353,365
114.220753,30.65305,619
114.220753,30.664732,3539
114.224313,30.522603,1208
114.224313,30.538179,133
114.224313,30.549861,1587
114.224313,30.5888,5508
114.224313,30.732876,2508
114.227873,30.758187,855
114.231433,30.471982,7
114.231433,30.495346,33
114.231433,30.49924,141
114.231433,30.721194,162
114.234992,30.582959,23
114.234992,30.602429,123
114.234992,30.629687,7645
114.234992,31.015186,2
114.238552,30.382422,908
114.238552,30.530391,6680
114.238552,30.542073,178
114.238552,30.545967,544
114.238552,30.557649,39
114.238552,30.701724,1865
114.238552,30.728982,174
114.238552,30.888633,2644
114.242112,30.512869,894
114.242112,30.855535,143
114.245672,30.468088,594
114.245672,30.662785,33
114.245672,30.697831,83
114.245672,30.857482,4318
114.249232,30.349323,1397
114.249232,30.520656,1307
114.249232,30.532338,11936
114.249232,30.555702,498
114.249232,30.65305,931
114.249232,30.703671,290
114.249232,30.715353,5036
114.249232,30.727035,5
114.252792,30.067013,90
114.252792,30.421361,5776
114.252792,30.581012,9481
114.252792,30.584906,5415
114.252792,30.5888,2447
114.252792,30.619952,35315
114.252792,30.767921,86
114.256352,30.547914,14
114.256352,30.571278,16718
114.256352,30.699777,1290
114.256352,30.730929,900
114.256352,30.754293,442
114.256352,31.143686,554
114.259912,30.433043,1731
114.259912,30.436937,71
114.259912,30.448619,9
114.259912,30.581012,1152
114.259912,30.584906,7775
114.259912,30.619952,223
114.259912,30.95483,1370
114.263472,30.458353,717
114.263472,30.481717,1
114.263472,30.676414,99
114.267032,30.35127,26
114.267032,30.444725,1286
114.267032,30.596588,2573
114.267032,30.604376,12404
114.267032,30.616058,14684
114.267032,30.810755,1
114.270592,30.508975,1900
114.270592,30.656944,9
114.274152,30.012498,583
114.274152,30.343482,76
114.274152,30.561543,114
114.274152,30.573225,3873
114.274152,30.709512,2134
114.274152,30.721194,12628
114.277712,30.244187,2546
114.277712,30.267551,6555
114.277712,30.392156,252
114.277712,30.633581,2204
114.277712,30.793232,933
114.277712,30.804914,2
114.281272,30.487558,2
114.281272,30.507028,2838
114.281272,30.643315,7576
114.281272,30.658891,248
114.284832,30.061172,273
114.284832,30.32596,308
114.284832,30.427202,89
114.284832,30.442778,12
114.284832,30.579065,10772
114.284832,30.590747,2115
114.284832,30.610217,4021
114.284832,30.625793,3223
114.284832,30.637475,2271
114.284832,30.808808,87
114.288392,30.401891,1
114.288392,30.425255,127
114.288392,30.631634,129
114.288392,31.25077,207
114.291951,30.092323,903
114.291951,30.505081,8042
114.291951,30.508975,3637
114.291951,30.656944,51
114.291951,30.668626,551
114.295511,30.343482,8
114.295511,30.561543,1901
114.295511,30.573225,6
114.295511,30.7173,277
114.295511,30.919785,223
114.299071,30.388263,295
114.299071,30.547914,2587
114.299071,30.571278,1182
114.299071,30.699777,388
114.299071,30.719247,1966
114.302631,30.324013,129
114.302631,30.464194,3629
114.302631,30.647209,9865
114.302631,30.670573,714
114.302631,30.75624,139
114.306191,30.470035,532
114.306191,30.473929,1371
114.306191,30.497293,609
114.306191,30.505081,2151
114.306191,30.508975,1495
114.306191,30.656944,866
114.306191,30.871111,1145
114.309751,30.35127,13398
114.309751,30.397997,823
114.309751,30.405785,2956
114.309751,30.417467,2947
114.309751,30.429149,931
114.309751,30.577118,7613
114.309751,30.635528,1
114.313311,30.337641,1469
114.313311,30.349323,6464
114.313311,30.364899,11770
114.313311,30.520656,4118
114.313311,30.532338,5661
114.313311,30.555702,4491
114.313311,30.559596,11370
114.313311,30.703671,6443
114.313311,30.715353,130
114.316871,30.362952,2731
114.316871,30.374634,5361
114.316871,30.386316,75
114.316871,30.534285,288
114.316871,30.569331,1216
114.316871,30.5888,6539
114.316871,30.60827,19
114.316871,30.705618,487
114.320431,30.283126,176
114.320431,30.493399,474
114.320431,30.501187,2467
114.320431,30.688096,164
114.323991,30.491452,4709
114.323991,30.49924,83
114.323991,30.514816,1300
114.323991,30.654997,348
114.323991,30.666679,789
114.323991,30.86527,2161
114.327551,30.407732,271
114.327551,30.419414,1
114.327551,30.431096,244
114.327551,30.602429,195
114.331111,30.148785,324
114.331111,30.366846,3755
114.331111,30.378528,2058
114.331111,30.522603,4062
114.331111,30.526497,209
114.331111,30.538179,1865
114.331111,30.549861,35
114.334671,30.341535,2034
114.334671,30.368793,7765
114.334671,30.536232,6199
114.334671,30.67252,5207
114.338231,30.510922,9906
114.338231,30.62774,198
114.338231,30.662785,6908
114.338231,30.674467,57
114.338231,30.686149,1011
114.338231,31.052179,1087
114.341791,30.380475,15
114.341791,30.516762,890
114.341791,30.528444,4568
114.341791,30.551808,6341
114.341791,30.575172,7357
114.341791,30.65305,2
114.341791,30.69199,796
114.341791,30.711459,387
114.345351,30.584906,9345
114.345351,30.619952,2647
114.34891,30.057278,1998
114.34891,30.594641,15
114.34891,30.614111,3576
114.35247,30.530391,863
114.35247,30.542073,3121
114.35247,30.545967,1603
114.35247,30.557649,1660
114.35247,30.701724,1637
114.35247,30.728982,1
114.35247,30.908103,652
114.35247,31.161209,1519
114.35603,30.096217,192
114.35603,30.104005,1066
114.35603,30.142945,20
114.35603,30.540126,4362
114.35603,30.567384,2937
114.35603,31.093065,46
114.35603,31.104747,52
114.35959,30.518709,733
114.35959,30.553755,14
114.35959,30.565437,752
114.35959,30.896421,2734
114.36315,30.52455,2547
114.36315,30.571278,1523
114.36671,30.051437,434
114.36671,30.394103,726
114.36671,30.409679,1498
114.36671,30.452513,2438
